RIS Field	EndNote Field	EndNote Ref. Type	In RIS spec?	Raw Data
AD	Author Address	Equation	Y	AD    Author Address
AD	Author Address	Electronic Article	Y	AD    Author Address
AD	Author Address	Electronic Book	Y	AD    Author Address
AD	Author Address	Online Database	Y	AD    Author Address
AD	Author Address	Generic	Y	AD    Author Address
AD	Author Address	Government Document	Y	AD    Author Address
AD	Author Address	Conference Paper	Y	AD    Author Address
AD	Author Address	Online Multimedia	Y	AD    Author Address
AD	Author Address	Classical Work	Y	AD    Author Address
AD	Author Address	Legal Rule or Regulation	Y	AD    Author Address
AD	Author Address	Unpublished Work	Y	AD    Author Address
AD	Author Address	Ancient Text	Y	AD    Author Address
AD	Author Address	Dictionary	Y	AD    Author Address
AD	Author Address	Encyclopedia	Y	AD    Author Address
AD	Author Address	Grant	Y	AD    Author Address
AD	Author Address	Aggregated Database	Y	AD    Author Address
AD	Author Address	Blog	Y	AD    Author Address
AD	Author Address	Catalog	Y	AD    Author Address
AD	Author Address	Pamphlet	Y	AD    Author Address
AD	Author Address	Serial	Y	AD    Author Address
AD	Author Address	Standard	Y	AD    Author Address
AD	Author Address	Dataset	Y	AD    Author Address
AD	Author Address	Electronic Book Section	Y	AD    Author Address
AD	Editor Address	Edited Book	Y	AD    Editor Address
AD	Inventor Address	Patent	Y	AD    Inventor Address
AN	Accession Number	Journal Article	N	AN    Accession Number
AN	Accession Number	Book	N	AN    Accession Number
AN	Accession Number	Thesis	N	AN    Accession Number
AN	Accession Number	Conference Proceedings	N	AN    Accession Number
AN	Accession Number	Personal Communication	N	AN    Accession Number
AN	Accession Number	Newspaper Article	N	AN    Accession Number
AN	Accession Number	Computer Program	N	AN    Accession Number
AN	Accession Number	Book Section	N	AN    Accession Number
AN	Accession Number	Magazine Article	N	AN    Accession Number
AN	Accession Number	Edited Book	N	AN    Accession Number
AN	Accession Number	Report	N	AN    Accession Number
AN	Accession Number	Map	N	AN    Accession Number
AN	Accession Number	Audiovisual Material	N	AN    Accession Number
AN	Accession Number	Artwork	N	AN    Accession Number
AN	Accession Number	Patent	N	AN    Accession Number
AN	Accession Number	Web Page	N	AN    Accession Number
AN	Accession Number	Bill	N	AN    Accession Number
AN	Accession Number	Case	N	AN    Accession Number
AN	Accession Number	Hearing	N	AN    Accession Number
AN	Accession Number	Manuscript	N	AN    Accession Number
AN	Accession Number	Manuscript-2	N	AN    Accession Number
AN	Accession Number	Statute	N	AN    Accession Number
AN	Accession Number	Figure	N	AN    Accession Number
AN	Accession Number	Chart or Table	N	AN    Accession Number
AN	Accession Number	Equation	N	AN    Accession Number
AN	Accession Number	Electronic Article	N	AN    Accession Number
AN	Accession Number	Electronic Book	N	AN    Accession Number
AN	Accession Number	Online Database	N	AN    Accession Number
AN	Accession Number	Generic	N	AN    Accession Number
AN	Accession Number	Government Document	N	AN    Accession Number
AN	Accession Number	Conference Paper	N	AN    Accession Number
AN	Accession Number	Online Multimedia	N	AN    Accession Number
AN	Accession Number	Classical Work	N	AN    Accession Number
AN	Accession Number	Legal Rule or Regulation	N	AN    Accession Number
AN	Accession Number	Ancient Text	N	AN    Accession Number
AN	Accession Number	Dictionary	N	AN    Accession Number
AN	Accession Number	Encyclopedia	N	AN    Accession Number
AN	Accession Number	Grant	N	AN    Accession Number
AN	Accession Number	Aggregated Database	N	AN    Accession Number
AN	Accession Number	Blog	N	AN    Accession Number
AN	Accession Number	Catalog	N	AN    Accession Number
